"","raw_batch1_07262021_MT___MT_20210726_001","raw_batch1_07262021_MT___MT_20210726_003","raw_batch1_07262021_MT___MT_20210726_005","raw_batch1_07262021_MT___MT_20210726_007","raw_batch1_07262021_MT___MT_20210726_009","raw_batch1_07262021_MT___MT_20210726_095","raw_batch1_07262021_MT___MT_20210726_097","raw_batch1_07262021_MT___MT_20210726_193","raw_batch1_07262021_MT___Blank_20210726_003"
"F547",1420246,1234101,1198321,898483,1024978,780079,830559,832169,0
"F552",0,0,0,0,0,0,0,0,0
"F553",3427844,3961490,4465507,4848928,4420295,4489745,4622573,4372029,4969592
"F554",37653145,22686571,18350333,16695235,16802134,15010380,12640502,11981087,0
"F555",234051118,146311877,124870653,123094750,120936005,399755143,210575630,272024574,90550289
"F556",0,0,0,0,0,0,0,0,0
"F557",0,0,0,0,0,0,0,0,0
"F558",1052534,1001557,663625,579866,515266,595036,371176,633200,0
"F559",0,0,0,0,0,0,0,0,0
"F568",0,0,0,0,0,0,0,0,0
"F569",0,0,0,0,0,0,0,0,0
"F570",0,0,0,0,0,0,0,0,0
"F571",0,0,0,0,0,0,0,0,1455272
"F572",0,0,0,0,0,0,0,0,0
"F573",0,0,0,0,0,20291,0,384553,0
"F575",0,0,0,0,6631,0,0,0,0
"F579",0,0,0,0,0,0,0,0,0
"F580",0,0,0,0,0,0,0,0,0
"F581",2456239,1866936,1625005,1597286,1511703,1680132,1701338,1642040,0
"F585",0,0,0,0,23955,0,0,0,0
"F586",29609981,20235119,16401475,15126748,15280085,13463486,13409151,11943623,0
"F587",0,0,0,0,0,0,0,0,0
"F588",0,0,0,0,0,0,0,0,0
"F589",0,0,0,0,0,0,0,0,0
"F590",3458208,2772753,2615639,2557992,2603087,2699528,2777588,2646383,225396
"F591",7358465,5333022,4534315,4126818,3921278,3763172,3536650,3226863,382524
"F593",0,0,0,0,0,0,0,0,0
"F594",0,0,0,0,0,0,0,0,0
"F596",0,0,0,0,0,0,0,0,0
"F598",0,0,0,0,0,0,0,0,0
"F599",583325,374667,459790,572876,343156,546993,567471,560902,0
"F600",0,0,0,0,0,0,0,0,0
"F602",0,0,0,0,0,0,0,0,0
"F603",0,0,0,0,0,0,0,0,0
"F604",0,0,0,0,0,0,0,0,0
"F606",1363754,1632452,1590243,1695558,1484065,1819526,2008211,1753380,0
"F607",0,0,0,0,0,0,0,0,0
"F608",0,0,0,0,0,0,0,0,0
"F609",0,0,0,0,0,0,0,0,0
"F610",0,0,0,0,0,0,0,0,0
"F611",0,0,0,0,0,0,0,0,0
